file,type,dataset,source_id,n_samples,n_features_or_columns
data/raw/main_benchmark/iris_seed3.csv,main_raw,iris,,150,4
data/processed/main_benchmark/iris_seed3_processed.csv,main_processed,iris,,150,4
data/raw/main_benchmark/wine_seed3.csv,main_raw,wine,,178,13
data/processed/main_benchmark/wine_seed3_processed.csv,main_processed,wine,,178,10
data/raw/main_benchmark/breast_cancer_seed3.csv,main_raw,breast_cancer,,569,30
data/processed/main_benchmark/breast_cancer_seed3_processed.csv,main_processed,breast_cancer,,569,10
data/raw/main_benchmark/digits_0_4_seed3.csv,main_raw,digits_0_4,,901,64
data/processed/main_benchmark/digits_0_4_seed3_processed.csv,main_processed,digits_0_4,,901,10
data/raw/main_benchmark/two_moons_seed3.csv,main_raw,two_moons,,500,2
data/processed/main_benchmark/two_moons_seed3_processed.csv,main_processed,two_moons,,500,2
data/raw/main_benchmark/circles_seed3.csv,main_raw,circles,,500,2
data/processed/main_benchmark/circles_seed3_processed.csv,main_processed,circles,,500,2
data/raw/main_benchmark/noisy_moons_seed3.csv,main_raw,noisy_moons,,500,2
data/processed/main_benchmark/noisy_moons_seed3_processed.csv,main_processed,noisy_moons,,500,2
data/raw/main_benchmark/noisy_circles_seed3.csv,main_raw,noisy_circles,,500,2
data/processed/main_benchmark/noisy_circles_seed3_processed.csv,main_processed,noisy_circles,,500,2
data/raw/main_benchmark/varied_density_seed3.csv,main_raw,varied_density,,500,2
data/processed/main_benchmark/varied_density_seed3_processed.csv,main_processed,varied_density,,500,2
data/raw/main_benchmark/anisotropic_blobs_seed3.csv,main_raw,anisotropic_blobs,,500,2
data/processed/main_benchmark/anisotropic_blobs_seed3_processed.csv,main_processed,anisotropic_blobs,,500,2
data/raw/main_benchmark/ecoli_seed3.csv,main_raw,ecoli,,336,7
data/processed/main_benchmark/ecoli_seed3_processed.csv,main_processed,ecoli,,336,7
data/raw/main_benchmark/glass_seed3.csv,main_raw,glass,,214,9
data/processed/main_benchmark/glass_seed3_processed.csv,main_processed,glass,,214,9
data/raw/main_benchmark/vehicle_seed3.csv,main_raw,vehicle,,846,18
