band,wavelength_nm,min,p01,mean,median,p99,max,zero_pct,sat4095_pct,std
1,462.100006,7.0,112.0,517.7897338867188,455.0,1237.0,4095.0,0.0,0.0525,296.7439880371094
2,473.799988,0.0,85.0,436.3692932128906,377.0,1077.0,4095.0,0.005,0.0475,267.11785888671875
3,486.200012,7.0,115.0,518.6829833984375,457.0,1237.0,4095.0,0.0,0.0525,296.6697998046875
4,498.299988,0.0,82.0,433.9233093261719,375.0,1072.0,4095.0,0.005,0.0475,267.1440124511719
5,510.100006,87.0,247.0,770.67919921875,702.0,1765.0,4095.0,0.0,0.0725,368.2344970703125
6,522.299988,130.0,312.0,894.4995727539062,832.0,2045.0,4095.0,0.0,0.0775,400.5987243652344
7,535.200012,185.0,372.0,1019.2131958007812,962.0,2337.03515625,4095.0,0.0,0.08499999999999999,433.4870300292969
8,547.299988,200.0,420.0,1147.984375,1100.0,2637.0,4095.0,0.0,0.08750000000000001,478.0172424316406
9,559.599976,167.0,390.0,1157.5936279296875,1112.0,2767.0,4095.0,0.0,0.105,509.038818359375
10,571.900024,122.0,352.0,1150.349609375,1090.0,2805.05859375,4095.0,0.0,0.10250000000000001,524.5172119140625
11,584.200012,220.0,425.0,1266.8570556640625,1200.0,3002.0,4095.0,0.0,0.13749999999999998,554.456298828125
12,596.099976,107.0,357.0,1268.3079833984375,1180.0,3115.0,4095.0,0.0,0.1475,590.6446533203125
13,608.200012,165.0,360.0,1264.910888671875,1170.0,3170.05859375,4095.0,0.0,0.155,603.5887451171875
14,620.299988,67.0,295.0,1239.1759033203125,1145.0,3167.05859375,4095.0,0.0,0.1525,617.2870483398438
15,632.400024,87.0,326.97998046875,1268.213623046875,1175.0,3205.0234375,4095.0,0.0,0.17500000000000002,619.5361938476562
16,644.5,32.0,245.0,1151.4442138671875,1067.0,2990.0234375,4095.0,0.0,0.1225,594.4707641601562
17,657.799988,232.0,437.0,1520.1240234375,1425.0,3740.0,4095.0,0.0,0.5625,706.6458740234375
18,669.599976,300.0,512.0,1726.069580078125,1622.0,4095.0,4095.0,0.0,1.1875,781.8881225585938
19,681.400024,190.0,417.0,1494.4071044921875,1392.0,3667.03515625,4095.0,0.0,0.48250000000000004,694.623291015625
20,692.799988,215.0,435.0,1570.859375,1460.0,3790.0,4095.0,0.0,0.6224999999999999,698.7099609375
21,704.799988,172.0,430.0,1542.3145751953125,1452.0,3587.0,4095.0,0.0,0.39249999999999996,646.8668212890625
22,716.299988,157.0,400.0,1519.229736328125,1445.0,3455.0234375,4095.0,0.0,0.305,626.6431884765625
23,727.799988,65.0,365.0,1470.168212890625,1402.0,3285.05859375,4095.0,0.0,0.2,607.8573608398438
24,739.200012,97.0,357.0,1517.0037841796875,1450.0,3365.0234375,4095.0,0.0,0.24750000000000003,627.348876953125
25,750.599976,0.0,225.0,1226.0262451171875,1180.0,2740.0,4095.0,0.0225,0.08750000000000001,527.3636474609375
26,761.700012,0.0,177.0,1123.9759521484375,1115.0,2492.0,4095.0,0.0475,0.08499999999999999,490.75726318359375
27,772.799988,0.0,277.0,1422.9737548828125,1405.0,3020.0,4095.0,0.0125,0.1275,591.4160766601562
28,783.799988,0.0,257.0,1423.6275634765625,1392.0,3012.0,4095.0,0.005,0.1325,609.951171875
29,794.700012,0.0,227.0,1295.221435546875,1257.0,2690.0,4095.0,0.015,0.08,559.62451171875
30,805.599976,0.0,147.0,1143.4661865234375,1100.0,2390.0,4095.0,0.18,0.0775,516.9271240234375
31,816.200012,0.0,109.969970703125,1066.567138671875,1025.0,2315.0234375,4095.0,0.3025,0.06999999999999999,511.95806884765625
32,826.799988,0.0,10.0,853.2061767578125,815.0,1910.0234375,4095.0,0.9225000000000001,0.0675,445.8838806152344
33,837.400024,0.0,0.0,888.5405883789062,842.0,2002.0,4095.0,1.0250000000000001,0.0675,472.37744140625
34,847.700012,0.0,57.0,1042.1964111328125,992.0,2280.0234375,4095.0,0.5275,0.06999999999999999,523.6453857421875
35,857.900024,0.0,30.0,1005.8054809570312,957.0,2235.0234375,4095.0,0.74,0.0675,518.1922607421875
36,868.099976,0.0,45.0,1040.01806640625,987.0,2287.0,4095.0,0.64,0.0675,528.192626953125
37,878.099976,0.0,86.97998046875,1122.6669921875,1072.0,2437.0,4095.0,0.43499999999999994,0.075,552.9053955078125
38,888.0,0.0,57.0,1044.49072265625,995.0,2302.0,4095.0,0.5975,0.06999999999999999,527.9263916015625
39,897.700012,0.0,0.0,877.705322265625,835.0,1972.0,4095.0,1.045,0.0675,464.0321044921875
40,907.299988,0.0,0.0,886.4595947265625,845.0,2012.0,4095.0,1.125,0.08750000000000001,473.7053527832031
41,916.799988,0.0,0.0,828.3001708984375,787.0,1890.0,4095.0,1.58,0.06999999999999999,448.6685485839844
42,926.0,0.0,0.0,626.1907958984375,592.0,1512.0,4095.0,3.535,0.0625,379.5989990234375
43,935.200012,0.0,0.0,398.9272155761719,367.0,1085.0,4095.0,8.7075,0.06,292.1531066894531
44,944.200012,0.0,0.0,430.5260009765625,402.0,1175.0,4095.0,8.8575,0.057499999999999996,313.1254577636719
45,953.200012,0.0,0.0,319.2499694824219,277.0,985.0,4095.0,15.415000000000001,0.057499999999999996,280.3173522949219
46,962.0,0.0,0.0,409.4408874511719,372.0,1157.03515625,4095.0,10.8625,0.057499999999999996,318.2395324707031
47,970.700012,0.0,0.0,429.2696533203125,395.0,1195.0,4095.0,10.015,0.057499999999999996,324.5205383300781
48,978.400024,0.0,0.0,245.073974609375,197.0,850.0,4095.0,22.259999999999998,0.055,249.31317138671875
49,987.5,0.0,0.0,517.2882080078125,492.0,1277.03515625,4095.0,4.967499999999999,0.057499999999999996,330.36956787109375
50,995.700012,0.0,0.0,550.298095703125,525.0,1312.0,4095.0,3.5425,0.057499999999999996,332.6083984375
51,1004.0,0.0,0.0,456.89239501953125,435.0,1130.0,4095.0,5.1075,0.055,296.6363830566406
52,1012.0,0.0,0.0,313.12042236328125,287.0,867.0,4095.0,10.89,0.0525,247.4534912109375
53,1019.799988,0.0,0.0,199.88299560546875,170.0,637.0,4095.0,18.32,0.04,196.29998779296875
54,1027.599976,0.0,0.0,109.95044708251953,67.0,452.0,4095.0,33.3275,0.0275,152.85910034179688
55,1035.300049,0.0,0.0,37.3682746887207,0.0,255.0,4095.0,63.1325,0.01,99.40296173095703
56,1042.400024,0.0,0.0,6.539000034332275,0.0,100.0,3660.0,89.1875,0.0,61.91799545288086
57,1050.199951,0.0,0.0,1.1585999727249146,0.0,0.0,2432.0,99.6,0.0,38.8452033996582
58,1057.0,0.0,0.0,0.6279500126838684,0.0,0.0,1697.0,99.885,0.0,24.55437469482422
59,1064.0,0.0,0.0,0.4952250123023987,0.0,0.0,4095.0,99.9075,0.0025,26.613239288330078
60,1070.800049,0.0,0.0,0.22394999861717224,0.0,0.0,830.0,99.92750000000001,0.0,10.313971519470215
61,1650.0,0.0,0.0,438.3304138183594,420.0,1340.0,4095.0,12.0425,0.0675,346.0146789550781
62,2215.0,0.0,0.0,341.13323974609375,287.0,1322.0,4095.0,16.5725,0.055,327.1356506347656
63,4000.0,0.0,0.0,60.05722427368164,0.0,587.0,4095.0,70.12,0.05,181.65415954589844
64,10250.0,0.0,0.0,305.75347900390625,0.0,2550.0234375,4095.0,70.1475,0.105,618.9473876953125
