dataset,seed,parameter,value,ari
two_moons,3,organ_merge_radius,2.8,1.0
two_moons,3,organ_merge_radius,3.2,1.0
two_moons,3,organ_merge_radius,3.6,1.0
two_moons,3,organ_merge_radius,4.0,1.0
two_moons,3,organ_merge_radius,4.4,1.0
two_moons,3,tangent_alignment,0.0,1.0
two_moons,3,tangent_alignment,0.2,1.0
two_moons,3,tangent_alignment,0.35,1.0
two_moons,3,tangent_alignment,0.5,1.0
two_moons,3,tangent_alignment,0.65,1.0
two_moons,3,compact_refinement_steps,0.0,1.0
two_moons,3,compact_refinement_steps,5.0,1.0
two_moons,3,compact_refinement_steps,10.0,1.0
two_moons,3,compact_refinement_steps,18.0,1.0
two_moons,3,compact_refinement_steps,30.0,1.0
two_moons,3,compact_refinement_restarts,1.0,1.0
two_moons,3,compact_refinement_restarts,3.0,1.0
two_moons,3,compact_refinement_restarts,5.0,1.0
two_moons,3,compact_refinement_restarts,10.0,1.0
two_moons,3,compact_refinement_restarts,15.0,1.0
circles,3,organ_merge_radius,2.8,1.0
circles,3,organ_merge_radius,3.2,1.0
circles,3,organ_merge_radius,3.6,1.0
circles,3,organ_merge_radius,4.0,1.0
circles,3,organ_merge_radius,4.4,1.0
circles,3,tangent_alignment,0.0,1.0
circles,3,tangent_alignment,0.2,1.0
circles,3,tangent_alignment,0.35,1.0
circles,3,tangent_alignment,0.5,1.0
circles,3,tangent_alignment,0.65,1.0
circles,3,compact_refinement_steps,0.0,1.0
circles,3,compact_refinement_steps,5.0,1.0
circles,3,compact_refinement_steps,10.0,1.0
circles,3,compact_refinement_steps,18.0,1.0
circles,3,compact_refinement_steps,30.0,1.0
circles,3,compact_refinement_restarts,1.0,1.0
circles,3,compact_refinement_restarts,3.0,1.0
circles,3,compact_refinement_restarts,5.0,1.0
circles,3,compact_refinement_restarts,10.0,1.0
circles,3,compact_refinement_restarts,15.0,1.0
wine,3,organ_merge_radius,2.8,0.8974949815093207
wine,3,organ_merge_radius,3.2,0.8974949815093207
wine,3,organ_merge_radius,3.6,0.8974949815093207
wine,3,organ_merge_radius,4.0,0.8974949815093207
wine,3,organ_merge_radius,4.4,0.8974949815093207
wine,3,tangent_alignment,0.0,0.8974949815093207
wine,3,tangent_alignment,0.2,0.8974949815093207
wine,3,tangent_alignment,0.35,0.8974949815093207
wine,3,tangent_alignment,0.5,0.8974949815093207
wine,3,tangent_alignment,0.65,0.8974949815093207
wine,3,compact_refinement_steps,0.0,0.42347468791626597
wine,3,compact_refinement_steps,5.0,0.8974949815093207
wine,3,compact_refinement_steps,10.0,0.8974949815093207
