dataset,family,algorithm,seed,n_samples,n_features,true_clusters,seconds,ari,nmi,clusters_found,silhouette,davies_bouldin,calinski_harabasz
iris,real_low_dim,MBC,3,150,4,3,0.24952419998589903,0.6100728505285608,0.6525582020084985,3.0,0.45937792074496625,0.8340001544731056,241.8932623680683
iris,real_low_dim,MBC_no_compact,3,150,4,3,0.20299729995895177,0.5681159420289855,0.7336804366512104,2.0,0.5817500491982808,0.5933126905762435,251.34933946458108
iris,real_low_dim,MBC_no_polarity,3,150,4,3,0.21787920000497252,0.6100728505285608,0.6525582020084985,3.0,0.45937792074496625,0.8340001544731056,241.8932623680683
iris,real_low_dim,MBC_no_capillary,3,150,4,3,0.2118437000317499,0.6100728505285608,0.6525582020084985,3.0,0.45937792074496625,0.8340001544731056,241.8932623680683
iris,real_low_dim,MBC_micro_only,3,150,4,3,0.2010154000017792,0.46971946387878893,0.6236559907345861,5.0,0.3430762157306018,0.9586527253250152,195.79852027763383
wine,real_tabular,MBC,3,178,10,3,0.2766410999465734,0.8974949815093207,0.8758935341223069,3.0,0.29867482943692875,1.3363263335155775,76.17957977418826
wine,real_tabular,MBC_no_compact,3,178,10,3,0.2622487999033183,0.42347468791626597,0.5405174837986283,3.0,0.2620056961389617,1.1014659264587419,36.47815265195182
wine,real_tabular,MBC_no_polarity,3,178,10,3,0.2791659999638796,0.8974949815093207,0.8758935341223069,3.0,0.29867482943692875,1.3363263335155775,76.17957977418826
wine,real_tabular,MBC_no_capillary,3,178,10,3,0.2644742000848055,0.8974949815093207,0.8758935341223069,3.0,0.29867482943692875,1.3363263335155775,76.17957977418826
wine,real_tabular,MBC_micro_only,3,178,10,3,0.2620639998931438,0.7029174223388556,0.702006831177421,9.0,0.22005076472187193,1.291489846041635,31.053826511035176
breast_cancer,real_tabular,MBC,3,569,10,2,0.5061867999611422,0.6707206476880808,0.5546122184105559,2.0,0.3579864216984321,1.2596589047411835,288.12456737363806
breast_cancer,real_tabular,MBC_no_compact,3,569,10,2,0.480431400006637,0.017291523464991028,0.0337862895590018,2.0,0.4602391788757306,0.8592339644804424,32.0455234450924
breast_cancer,real_tabular,MBC_no_polarity,3,569,10,2,0.47662849992047995,0.6707206476880808,0.5546122184105559,2.0,0.3579864216984321,1.2596589047411835,288.12456737363806
breast_cancer,real_tabular,MBC_no_capillary,3,569,10,2,0.5041561999823898,0.6707206476880808,0.5546122184105559,2.0,0.3579864216984321,1.2596589047411835,288.12456737363806
breast_cancer,real_tabular,MBC_micro_only,3,569,10,2,0.48742260003928095,0.4507106880472348,0.3887101868839955,14.0,0.15438282202284268,1.51710199915767,68.25143437288921
digits_0_4,real_image_features,MBC,3,901,10,5,0.975946499966085,0.7725597798917779,0.7856253023795009,5.0,0.2986109286117632,1.4592875785929444,212.5620070534068
digits_0_4,real_image_features,MBC_no_compact,3,901,10,5,0.8835805000271648,0.040638477486505654,0.1945731888450127,5.0,0.0018320296396188939,1.2742475435597043,44.09267157117363
digits_0_4,real_image_features,MBC_no_polarity,3,901,10,5,0.92937449994497,0.7725597798917779,0.7856253023795009,5.0,0.2986109286117632,1.4592875785929444,212.5620070534068
digits_0_4,real_image_features,MBC_no_capillary,3,901,10,5,0.9126461999258026,0.7725597798917779,0.7856253023795009,5.0,0.2986109286117632,1.4592875785929444,212.5620070534068
digits_0_4,real_image_features,MBC_micro_only,3,901,10,5,0.9496078999945894,0.5772401448679413,0.7049729039828777,17.0,0.2651050155589191,1.309686042029878,155.4164461743847
two_moons,nonconvex,MBC,3,500,2,2,0.3959686999442056,1.0,1.0,2.0,0.3867272174102928,1.022225217666501,431.2659781839111
two_moons,nonconvex,MBC_no_compact,3,500,2,2,0.40075999998953193,1.0,1.0,2.0,0.3867272174102928,1.022225217666501,431.2659781839111
two_moons,nonconvex,MBC_no_polarity,3,500,2,2,0.40606840001419187,1.0,1.0,2.0,0.3867272174102928,1.022225217666501,431.2659781839111
two_moons,nonconvex,MBC_no_capillary,3,500,2,2,0.39160750003065914,1.0,1.0,2.0,0.3867272174102928,1.022225217666501,431.2659781839111
two_moons,nonconvex,MBC_micro_only,3,500,2,2,0.40664199995808303,0.1460004454840001,0.41894332388221545,14.0,0.47808628443837337,0.6021435926253961,1282.6289551518598
