dataset,parameter,range
anisotropic_blobs,compact_refinement_restarts,0.28694652098907414
anisotropic_blobs,compact_refinement_steps,0.28694652098907414
anisotropic_blobs,organ_merge_radius,0.29106083831085106
anisotropic_blobs,tangent_alignment,0.28694652098907414
breast_cancer,compact_refinement_restarts,0.022880291242505124
breast_cancer,compact_refinement_steps,0.6801632197385825
breast_cancer,organ_merge_radius,0.017096043297062935
breast_cancer,tangent_alignment,0.017096043297062935
circles,compact_refinement_restarts,0.0
circles,compact_refinement_steps,0.0
circles,organ_merge_radius,0.0
circles,tangent_alignment,0.0
digits_0_4,compact_refinement_restarts,0.3643873849686103
digits_0_4,compact_refinement_steps,0.7444193159016848
digits_0_4,organ_merge_radius,0.15776677983940002
digits_0_4,tangent_alignment,0.15776677983940002
iris,compact_refinement_restarts,0.05281438129741722
iris,compact_refinement_steps,0.0823275872547069
iris,organ_merge_radius,0.010062330358477145
iris,tangent_alignment,0.010062330358477145
noisy_circles,compact_refinement_restarts,0.0
noisy_circles,compact_refinement_steps,0.0
noisy_circles,organ_merge_radius,1.0
noisy_circles,tangent_alignment,1.0
noisy_moons,compact_refinement_restarts,0.7815208029168198
noisy_moons,compact_refinement_steps,0.7815208029168198
noisy_moons,organ_merge_radius,0.9919999681285151
noisy_moons,tangent_alignment,0.9919999681285151
two_moons,compact_refinement_restarts,0.0
two_moons,compact_refinement_steps,0.0
two_moons,organ_merge_radius,0.0
two_moons,tangent_alignment,0.9762267761509713
varied_density,compact_refinement_restarts,0.04128722925476556
varied_density,compact_refinement_steps,0.04128722925476556
varied_density,organ_merge_radius,0.5015675599042092
varied_density,tangent_alignment,0.16053582141957115
vehicle,compact_refinement_restarts,0.027955584324402316
vehicle,compact_refinement_steps,0.07381959064082064
vehicle,organ_merge_radius,0.0032325356535661404
vehicle,tangent_alignment,0.0032325356535661404
wine,compact_refinement_restarts,0.5151405046484057
wine,compact_refinement_steps,0.9077710020428966
wine,organ_merge_radius,0.0
wine,tangent_alignment,0.0
