dataset,seed,parameter,value,ari
two_moons,3,organ_merge_radius,2.8,1.0
two_moons,3,organ_merge_radius,3.6,1.0
two_moons,3,organ_merge_radius,4.4,1.0
two_moons,3,tangent_alignment,0.0,1.0
two_moons,3,tangent_alignment,0.35,1.0
two_moons,3,tangent_alignment,0.65,1.0
two_moons,3,compact_refinement_steps,0.0,1.0
two_moons,3,compact_refinement_steps,18.0,1.0
two_moons,3,compact_refinement_steps,30.0,1.0
two_moons,3,compact_refinement_restarts,1.0,1.0
two_moons,3,compact_refinement_restarts,10.0,1.0
two_moons,3,compact_refinement_restarts,15.0,1.0
two_moons,7,organ_merge_radius,2.8,1.0
two_moons,7,organ_merge_radius,3.6,1.0
two_moons,7,organ_merge_radius,4.4,1.0
two_moons,7,tangent_alignment,0.0,1.0
two_moons,7,tangent_alignment,0.35,1.0
two_moons,7,tangent_alignment,0.65,1.0
two_moons,7,compact_refinement_steps,0.0,1.0
two_moons,7,compact_refinement_steps,18.0,1.0
two_moons,7,compact_refinement_steps,30.0,1.0
two_moons,7,compact_refinement_restarts,1.0,1.0
two_moons,7,compact_refinement_restarts,10.0,1.0
two_moons,7,compact_refinement_restarts,15.0,1.0
two_moons,11,organ_merge_radius,2.8,1.0
two_moons,11,organ_merge_radius,3.6,1.0
two_moons,11,organ_merge_radius,4.4,1.0
two_moons,11,tangent_alignment,0.0,1.0
two_moons,11,tangent_alignment,0.35,1.0
two_moons,11,tangent_alignment,0.65,1.0
two_moons,11,compact_refinement_steps,0.0,1.0
two_moons,11,compact_refinement_steps,18.0,1.0
two_moons,11,compact_refinement_steps,30.0,1.0
two_moons,11,compact_refinement_restarts,1.0,1.0
two_moons,11,compact_refinement_restarts,10.0,1.0
two_moons,11,compact_refinement_restarts,15.0,1.0
two_moons,19,organ_merge_radius,2.8,1.0
two_moons,19,organ_merge_radius,3.6,1.0
two_moons,19,organ_merge_radius,4.4,1.0
two_moons,19,tangent_alignment,0.0,1.0
two_moons,19,tangent_alignment,0.35,1.0
two_moons,19,tangent_alignment,0.65,1.0
two_moons,19,compact_refinement_steps,0.0,1.0
two_moons,19,compact_refinement_steps,18.0,1.0
two_moons,19,compact_refinement_steps,30.0,1.0
two_moons,19,compact_refinement_restarts,1.0,1.0
two_moons,19,compact_refinement_restarts,10.0,1.0
two_moons,19,compact_refinement_restarts,15.0,1.0
two_moons,23,organ_merge_radius,2.8,1.0
two_moons,23,organ_merge_radius,3.6,1.0
two_moons,23,organ_merge_radius,4.4,1.0
two_moons,23,tangent_alignment,0.0,0.02377322384902867
two_moons,23,tangent_alignment,0.35,1.0
two_moons,23,tangent_alignment,0.65,1.0
two_moons,23,compact_refinement_steps,0.0,1.0
two_moons,23,compact_refinement_steps,18.0,1.0
two_moons,23,compact_refinement_steps,30.0,1.0
two_moons,23,compact_refinement_restarts,1.0,1.0
two_moons,23,compact_refinement_restarts,10.0,1.0
two_moons,23,compact_refinement_restarts,15.0,1.0
circles,3,organ_merge_radius,2.8,1.0
circles,3,organ_merge_radius,3.6,1.0
circles,3,organ_merge_radius,4.4,1.0
circles,3,tangent_alignment,0.0,1.0
circles,3,tangent_alignment,0.35,1.0
circles,3,tangent_alignment,0.65,1.0
circles,3,compact_refinement_steps,0.0,1.0
circles,3,compact_refinement_steps,18.0,1.0
circles,3,compact_refinement_steps,30.0,1.0
circles,3,compact_refinement_restarts,1.0,1.0
circles,3,compact_refinement_restarts,10.0,1.0
circles,3,compact_refinement_restarts,15.0,1.0
