parameter,value,mean,std,min,max
compact_refinement_restarts,1.0,0.6607654373253935,0.35786874469873015,-0.012111957388804545,1.0
compact_refinement_restarts,10.0,0.6886077648880746,0.3559570661184395,-0.012111957388804545,1.0
compact_refinement_restarts,15.0,0.6892591960151206,0.35591221957868896,-0.012111957388804545,1.0
compact_refinement_steps,0.0,0.5161409214122945,0.4285344108581576,-0.012111957388804545,1.0
compact_refinement_steps,18.0,0.6886077648880746,0.3559570661184395,-0.012111957388804545,1.0
compact_refinement_steps,30.0,0.6884677671487613,0.35591994213552597,-0.012111957388804545,1.0
organ_merge_radius,2.8,0.7283094487286188,0.3375024611903905,0.008976712786920119,1.0
organ_merge_radius,3.6,0.6886077648880746,0.3559570661184395,-0.012111957388804545,1.0
organ_merge_radius,4.4,0.5524057520763473,0.41102806980631007,0.0,1.0
tangent_alignment,0.0,0.5913069505982553,0.40092126525796445,0.0,1.0
tangent_alignment,0.35,0.6886077648880746,0.3559570661184395,-0.012111957388804545,1.0
tangent_alignment,0.65,0.6909830484609745,0.35198658151735424,0.008976712786920119,1.0
