dataset,seed,true_k,estimated_k_by_silhouette,estimated_k_ari,true_k_ari
breast_cancer,3,2,2,0.6707206476880808,0.6707206476880808
breast_cancer,7,2,2,0.6707206476880808,0.6707206476880808
breast_cancer,11,2,2,0.6707206476880808,0.6707206476880808
circles,3,2,2,1.0,1.0
circles,7,2,4,0.8279961528912372,1.0
circles,11,2,5,0.6915436787744731,1.0
noisy_circles,3,2,6,0.7879010185725174,1.0
noisy_circles,7,2,2,1.0,1.0
noisy_circles,11,2,6,0.6889593006226433,1.0
noisy_moons,3,2,2,0.2528871199243066,0.2528871199243066
noisy_moons,7,2,2,0.9919999681285151,0.9919999681285151
noisy_moons,11,2,2,0.9760961032975123,0.9760961032975123
two_moons,3,2,2,1.0,1.0
two_moons,7,2,2,1.0,1.0
two_moons,11,2,2,1.0,1.0
varied_density,3,3,2,0.005746236209493264,0.01725828399237998
varied_density,7,3,2,0.0017726163707051166,0.02864425062960093
varied_density,11,3,2,0.0017726163707051166,-0.012111957388804545
wine,3,3,3,0.8974949815093207,0.8974949815093207
wine,7,3,3,0.8974949815093207,0.8974949815093207
wine,11,3,3,0.8974949815093207,0.8974949815093207
