dataset,seed,candidate_k,true_k,ari,silhouette
two_moons,3,2,2,1.0,0.3867272174102928
two_moons,3,3,2,0.8052298381093654,0.26811277628181407
two_moons,3,4,2,1.0,0.3867272174102928
two_moons,3,5,2,0.8708117352398101,0.32870447989961815
two_moons,3,6,2,1.0,0.3867272174102928
two_moons,7,2,2,1.0,0.3853538871290773
two_moons,7,3,2,0.8822322606818457,0.17139697049765346
two_moons,7,4,2,0.8822322606818457,0.17139697049765346
two_moons,7,5,2,0.8822322606818457,0.17139697049765346
two_moons,7,6,2,0.8822322606818457,0.17139697049765346
two_moons,11,2,2,1.0,0.3867892578699579
two_moons,11,3,2,0.8881347993047374,0.3157678938039958
two_moons,11,4,2,0.7229393287738661,0.2963917439857011
two_moons,11,5,2,0.7206120771260178,0.29809373256610616
two_moons,11,6,2,0.7229393287738661,0.2963917439857011
circles,3,2,2,1.0,0.15131901664062075
circles,3,3,2,1.0,0.15131901664062075
circles,3,4,2,0.8851675079365248,0.14692102433501525
circles,3,5,2,0.8851675079365248,0.14692102433501525
circles,3,6,2,1.0,0.15131901664062075
circles,7,2,2,1.0,0.14659481407839264
circles,7,3,2,1.0,0.14659481407839264
circles,7,4,2,0.8279961528912372,0.18204116209567503
circles,7,5,2,1.0,0.14659481407839264
circles,7,6,2,0.8302582314255874,0.18023364038259027
circles,11,2,2,1.0,0.14955096969121412
circles,11,3,2,0.9162822139578819,0.11125059518964524
circles,11,4,2,0.7399677306628683,0.20184103932861486
circles,11,5,2,0.6915436787744731,0.2213610771154042
circles,11,6,2,0.9162822139578819,0.11459027451020092
noisy_moons,3,2,2,0.2528871199243066,0.35174421488882024
noisy_moons,3,3,2,0.1407159136406886,0.20137449370579247
noisy_moons,3,4,2,0.45269325151244844,0.13949752047824038
noisy_moons,3,5,2,0.0,
noisy_moons,3,6,2,0.890918084499773,0.34767582678167397
noisy_moons,7,2,2,0.9919999681285151,0.37006986693649746
noisy_moons,7,3,2,0.24503142307935388,0.09770646677014944
noisy_moons,7,4,2,0.1283823328619112,0.07653873353844176
noisy_moons,7,5,2,0.117328332118212,0.2743496408675624
noisy_moons,7,6,2,0.7463072040687107,0.3549011233788423
noisy_moons,11,2,2,0.9760961032975123,0.36319865956391856
noisy_moons,11,3,2,0.7988973926191646,0.10371816993355483
noisy_moons,11,4,2,0.05584348804410792,0.03731316466567105
noisy_moons,11,5,2,0.09449481614313035,0.01695238777075117
noisy_moons,11,6,2,0.0747356078874933,-0.06994739544096547
noisy_circles,3,2,2,1.0,0.10915402952094798
noisy_circles,3,3,2,1.0,0.10915402952094798
noisy_circles,3,4,2,1.0,0.10915402952094798
noisy_circles,3,5,2,0.7363406660731966,0.11096089718254011
noisy_circles,3,6,2,0.7879010185725174,0.15213438149942957
noisy_circles,7,2,2,1.0,0.11418936803893037
noisy_circles,7,3,2,1.0,0.11418936803893037
noisy_circles,7,4,2,1.0,0.11418936803893037
noisy_circles,7,5,2,1.0,0.11418936803893037
noisy_circles,7,6,2,0.9162822139578819,0.05133464044271151
noisy_circles,11,2,2,1.0,0.1092813485631781
noisy_circles,11,3,2,0.7496289464489999,0.17990672826728546
noisy_circles,11,4,2,0.7132289283068705,0.12094688878862124
noisy_circles,11,5,2,0.7433058674312129,0.08598769940133977
noisy_circles,11,6,2,0.6889593006226433,0.18330646352947697
varied_density,3,2,3,0.005746236209493264,0.4986304859907721
varied_density,3,3,3,0.01725828399237998,0.38054926006741985
varied_density,3,4,3,0.013023858924528679,-0.019870622555420995
varied_density,3,5,3,0.0022706382302531904,-0.10733894263775834
varied_density,3,6,3,0.04803737796066483,0.19119908449530248
varied_density,7,2,3,0.0017726163707051166,0.48240030924857885
varied_density,7,3,3,0.02864425062960093,0.29788842829366
varied_density,7,4,3,0.010300430910744514,0.34915697272486584
varied_density,7,5,3,-0.013352533412044456,0.026946351193358715
varied_density,7,6,3,0.009277759588679607,-0.13353423419712124
varied_density,11,2,3,0.0017726163707051166,0.4802157073770552
varied_density,11,3,3,-0.012111957388804545,-0.15487677602600558
varied_density,11,4,3,0.026111960312931715,0.14662784802105336
varied_density,11,5,3,0.22558819301626704,0.3334168810019314
varied_density,11,6,3,0.006763328469065735,0.23593031068927153
wine,3,2,3,0.38872424979619347,0.2793321095556224
wine,3,3,3,0.8974949815093207,0.29867482943692875
wine,3,4,3,0.7609239287585927,0.26770090936496066
wine,3,5,3,0.6464701112147596,0.2197594205160832
wine,3,6,3,0.700503317435246,0.2591999103972829
wine,7,2,3,0.37431449262136857,0.26967763793560756
wine,7,3,3,0.8974949815093207,0.29867482943692875
wine,7,4,3,0.7431364278717794,0.26329021935070335
wine,7,5,3,0.7253298761875687,0.2657062435368397
wine,7,6,3,0.5469373447803387,0.20963914598333788
wine,11,2,3,0.38872424979619347,0.2793321095556224
wine,11,3,3,0.8974949815093207,0.29867482943692875
wine,11,4,3,0.7377233357954371,0.26122943061110904
wine,11,5,3,0.7279222626977356,0.2484543713260232
wine,11,6,3,0.6226535506231736,0.21657170341753712
breast_cancer,3,2,2,0.6707206476880808,0.35798642169843203
breast_cancer,3,3,2,0.5116895428505235,0.32595499321092375
breast_cancer,3,4,2,0.5556132174685768,0.29471144958549356
breast_cancer,3,5,2,0.33656118175589245,0.18291651004049908
breast_cancer,3,6,2,0.3300268717640266,0.1808335372690999
breast_cancer,7,2,2,0.6707206476880808,0.35798642169843203
breast_cancer,7,3,2,0.510670959369618,0.32647588238503683
breast_cancer,7,4,2,0.2829898162389292,0.1690306946555428
