dataset,seed,variant,ari,clusters
bridge,3,MBC_full,0.8865519670347821,2
bridge,3,no_polarity,0.8865519670347821,2
bridge,3,no_channel_continuity,0.8865519670347821,2
bridge,3,no_polarity_no_channel,0.8865519670347821,2
bridge,3,no_fusion_diagnostic,0.12695189439514784,14
gap,3,MBC_full,1.0,2
gap,3,no_polarity,1.0,2
gap,3,no_channel_continuity,1.0,2
gap,3,no_polarity_no_channel,1.0,2
gap,3,no_fusion_diagnostic,0.11163278543717699,20
disconnected,3,MBC_full,-0.00228310502283105,2
disconnected,3,no_polarity,-0.00228310502283105,2
disconnected,3,no_channel_continuity,-0.00228310502283105,2
disconnected,3,no_polarity_no_channel,-0.00228310502283105,2
disconnected,3,no_fusion_diagnostic,0.24880608772287202,9
bridge,7,MBC_full,0.8781074590611789,2
bridge,7,no_polarity,0.8781074590611789,2
bridge,7,no_channel_continuity,0.8781074590611789,2
bridge,7,no_polarity_no_channel,0.8781074590611789,2
bridge,7,no_fusion_diagnostic,0.1313255843469707,14
gap,7,MBC_full,1.0,2
gap,7,no_polarity,1.0,2
gap,7,no_channel_continuity,1.0,2
gap,7,no_polarity_no_channel,1.0,2
gap,7,no_fusion_diagnostic,0.1072839030725084,21
disconnected,7,MBC_full,-0.00228310502283105,2
disconnected,7,no_polarity,-0.00228310502283105,2
disconnected,7,no_channel_continuity,-0.00228310502283105,2
disconnected,7,no_polarity_no_channel,-0.00228310502283105,2
disconnected,7,no_fusion_diagnostic,0.25354540082027993,10
bridge,11,MBC_full,0.8865519670347821,2
bridge,11,no_polarity,0.8865519670347821,2
bridge,11,no_channel_continuity,0.8865519670347821,2
bridge,11,no_polarity_no_channel,0.8865519670347821,2
bridge,11,no_fusion_diagnostic,0.1215491389830287,15
gap,11,MBC_full,1.0,2
gap,11,no_polarity,1.0,2
gap,11,no_channel_continuity,1.0,2
gap,11,no_polarity_no_channel,1.0,2
gap,11,no_fusion_diagnostic,0.12062137658279985,20
disconnected,11,MBC_full,-0.00228310502283105,2
disconnected,11,no_polarity,-0.00228310502283105,2
disconnected,11,no_channel_continuity,-0.00228310502283105,2
disconnected,11,no_polarity_no_channel,-0.00228310502283105,2
disconnected,11,no_fusion_diagnostic,0.2526100719125312,11
bridge,19,MBC_full,0.8950369786360152,2
bridge,19,no_polarity,0.8950369786360152,2
bridge,19,no_channel_continuity,0.8950369786360152,2
bridge,19,no_polarity_no_channel,0.8950369786360152,2
bridge,19,no_fusion_diagnostic,0.13115915312247234,14
gap,19,MBC_full,1.0,2
gap,19,no_polarity,1.0,2
gap,19,no_channel_continuity,1.0,2
gap,19,no_polarity_no_channel,1.0,2
gap,19,no_fusion_diagnostic,0.10983229359590507,21
disconnected,19,MBC_full,-0.00228310502283105,2
disconnected,19,no_polarity,-0.00228310502283105,2
disconnected,19,no_channel_continuity,-0.00228310502283105,2
disconnected,19,no_polarity_no_channel,-0.00228310502283105,2
disconnected,19,no_fusion_diagnostic,0.26135640213421246,9
bridge,23,MBC_full,0.8950369786360152,2
bridge,23,no_polarity,0.8950369786360152,2
bridge,23,no_channel_continuity,0.8950369786360152,2
bridge,23,no_polarity_no_channel,0.8950369786360152,2
bridge,23,no_fusion_diagnostic,0.11600348655566854,16
gap,23,MBC_full,1.0,2
gap,23,no_polarity,1.0,2
gap,23,no_channel_continuity,1.0,2
gap,23,no_polarity_no_channel,1.0,2
gap,23,no_fusion_diagnostic,0.10898744700657027,21
disconnected,23,MBC_full,-0.00228310502283105,2
disconnected,23,no_polarity,-0.00228310502283105,2
disconnected,23,no_channel_continuity,-0.00228310502283105,2
disconnected,23,no_polarity_no_channel,-0.00228310502283105,2
disconnected,23,no_fusion_diagnostic,0.25094903097202,9
