,,ari,ari,clusters,clusters
,,mean,std,mean,std
dataset,variant,,,,
bridge,MBC_full,0.8882570700805547,0.007084554973300199,2.0,0.0
bridge,no_channel_continuity,0.8882570700805547,0.007084554973300199,2.0,0.0
bridge,no_fusion_diagnostic,0.12539785148065763,0.006591895462529965,14.6,0.8944271909999159
bridge,no_polarity,0.8882570700805547,0.007084554973300199,2.0,0.0
bridge,no_polarity_no_channel,0.8882570700805547,0.007084554973300199,2.0,0.0
disconnected,MBC_full,-0.00228310502283105,0.0,2.0,0.0
disconnected,no_channel_continuity,-0.00228310502283105,0.0,2.0,0.0
disconnected,no_fusion_diagnostic,0.25345339871238315,0.004770914083717458,9.6,0.8944271909999159
disconnected,no_polarity,-0.00228310502283105,0.0,2.0,0.0
disconnected,no_polarity_no_channel,-0.00228310502283105,0.0,2.0,0.0
gap,MBC_full,1.0,0.0,2.0,0.0
gap,no_channel_continuity,1.0,0.0,2.0,0.0
gap,no_fusion_diagnostic,0.11167156113899213,0.005242604722668171,20.6,0.547722557505166
gap,no_polarity,1.0,0.0,2.0,0.0
gap,no_polarity_no_channel,1.0,0.0,2.0,0.0
