dataset,seed,winner,winning_inertia,mbc_inertia,n_kmeanspp_candidates
breast_cancer,3,k-means++,10770.289989350715,10770.705565729255,9
breast_cancer,7,k-means++,10770.289989350715,10770.705565729255,9
breast_cancer,11,k-means++,10770.289989350715,10770.705565729255,9
breast_cancer,19,k-means++,10770.547027720144,10770.705565729255,9
breast_cancer,23,MBC-derived,10770.289989350715,10770.289989350715,9
cmc,3,k-means++,9224.297654113096,9727.558361132738,9
cmc,7,k-means++,9224.297654113096,9727.558361132738,9
cmc,11,k-means++,9224.297654113096,9727.558361132738,9
cmc,19,k-means++,9224.284106729483,9727.558361132738,9
cmc,23,k-means++,9224.284106729483,9727.558361132738,9
digits_0_4,3,k-means++,18195.649917825915,22091.01028576502,9
digits_0_4,7,k-means++,18210.92918356076,20131.688661497166,9
digits_0_4,11,k-means++,18195.311072919147,20816.930989695957,9
digits_0_4,19,MBC-derived,18914.47409414012,18914.47409414012,9
digits_0_4,23,k-means++,18471.53317385962,19018.322506394776,9
ecoli,3,k-means++,525.0467822195603,586.5563730532442,9
ecoli,7,k-means++,524.6018857728816,599.1645424157539,9
ecoli,11,k-means++,530.209012842131,558.8016513455103,9
ecoli,19,k-means++,526.5638694803937,598.5585394308523,9
ecoli,23,k-means++,525.8273620838786,530.7563143388608,9
glass,3,k-means++,769.8483513105014,920.8913296152189,9
glass,7,k-means++,766.9804122124422,967.1852068274139,9
glass,11,k-means++,769.0499283297734,935.7989710655304,9
glass,19,k-means++,769.554139381406,903.1523770489334,9
glass,23,k-means++,766.9619346809202,933.8672344096926,9
iris,3,k-means++,139.82543466174207,140.0327527742865,9
iris,7,k-means++,139.82049635974982,140.0327527742865,9
iris,11,k-means++,139.82049635974982,140.90153181202442,9
iris,19,k-means++,139.82543466174207,140.0327527742865,9
iris,23,k-means++,139.82049635974982,140.0327527742865,9
vehicle,3,k-means++,5814.675421649352,5819.059613062469,9
vehicle,7,k-means++,5814.675421649352,7420.638677859875,9
vehicle,11,k-means++,5815.131511683897,5815.440388047296,9
vehicle,19,k-means++,5819.059613062469,6622.380672410369,9
vehicle,23,k-means++,5814.759245678461,5819.059613062469,9
wdbc,3,k-means++,10770.289928168957,10770.705505056092,9
wdbc,7,k-means++,10770.289928168957,10770.705505056092,9
wdbc,11,k-means++,10770.289928168957,10770.705505056092,9
wdbc,19,k-means++,10770.54696466143,10770.705505056092,9
wdbc,23,MBC-derived,10770.289928168957,10770.289928168957,9
wine,3,k-means++,1189.6391379398015,1191.542841558392,9
wine,7,k-means++,1189.6391379398015,1191.542841558392,9
wine,11,k-means++,1189.6391379398015,1191.542841558392,9
wine,19,k-means++,1189.6391379398015,1502.3419473697122,9
wine,23,MBC-derived,1189.6391379398015,1189.6391379398015,9
