combination,dataset,seed,growth_rate,inhibition,organ_merge_radius,valley_ratio,tangent_alignment,max_bridge_void,birth_quantile,steps,ari
0,two_moons,3,0.18,0.035,4.2,0.28,0.42,0.52,0.92,120,1.0
0,two_moons,7,0.18,0.035,4.2,0.28,0.42,0.52,0.92,120,1.0
0,two_moons,11,0.18,0.035,4.2,0.28,0.42,0.52,0.92,120,1.0
0,circles,3,0.18,0.035,4.2,0.28,0.42,0.52,0.92,120,1.0
0,circles,7,0.18,0.035,4.2,0.28,0.42,0.52,0.92,120,1.0
0,circles,11,0.18,0.035,4.2,0.28,0.42,0.52,0.92,120,1.0
0,varied_density,3,0.18,0.035,4.2,0.28,0.42,0.52,0.92,120,0.00682991719054414
0,varied_density,7,0.18,0.035,4.2,0.28,0.42,0.52,0.92,120,-0.004543526438650621
0,varied_density,11,0.18,0.035,4.2,0.28,0.42,0.52,0.92,120,0.029252617438630484
0,wine,3,0.18,0.035,4.2,0.28,0.42,0.52,0.92,120,0.8974949815093207
0,wine,7,0.18,0.035,4.2,0.28,0.42,0.52,0.92,120,0.8974949815093207
0,wine,11,0.18,0.035,4.2,0.28,0.42,0.52,0.92,120,0.8974949815093207
0,digits_0_4,3,0.18,0.035,4.2,0.28,0.42,0.52,0.92,120,0.7819593312981957
0,digits_0_4,7,0.18,0.035,4.2,0.28,0.42,0.52,0.92,120,0.7789122155744361
0,digits_0_4,11,0.18,0.035,4.2,0.28,0.42,0.52,0.92,120,0.7821108165634358
1,two_moons,3,0.15,0.045,3.6,0.18,0.35,0.46,0.88,140,1.0
1,two_moons,7,0.15,0.045,3.6,0.18,0.35,0.46,0.88,140,1.0
1,two_moons,11,0.15,0.045,3.6,0.18,0.35,0.46,0.88,140,1.0
1,circles,3,0.15,0.045,3.6,0.18,0.35,0.46,0.88,140,1.0
1,circles,7,0.15,0.045,3.6,0.18,0.35,0.46,0.88,140,1.0
1,circles,11,0.15,0.045,3.6,0.18,0.35,0.46,0.88,140,1.0
1,varied_density,3,0.15,0.045,3.6,0.18,0.35,0.46,0.88,140,0.01725828399237998
1,varied_density,7,0.15,0.045,3.6,0.18,0.35,0.46,0.88,140,0.02864425062960093
1,varied_density,11,0.15,0.045,3.6,0.18,0.35,0.46,0.88,140,-0.012111957388804545
1,wine,3,0.15,0.045,3.6,0.18,0.35,0.46,0.88,140,0.8974949815093207
1,wine,7,0.15,0.045,3.6,0.18,0.35,0.46,0.88,140,0.8974949815093207
1,wine,11,0.15,0.045,3.6,0.18,0.35,0.46,0.88,140,0.8974949815093207
1,digits_0_4,3,0.15,0.045,3.6,0.18,0.35,0.46,0.88,140,0.7725597798917779
1,digits_0_4,7,0.15,0.045,3.6,0.18,0.35,0.46,0.88,140,0.7850577933881904
1,digits_0_4,11,0.15,0.045,3.6,0.18,0.35,0.46,0.88,140,0.7795342806637048
2,two_moons,3,0.18,0.035,3.6,0.28,0.35,0.46,0.88,120,1.0
2,two_moons,7,0.18,0.035,3.6,0.28,0.35,0.46,0.88,120,1.0
2,two_moons,11,0.18,0.035,3.6,0.28,0.35,0.46,0.88,120,1.0
2,circles,3,0.18,0.035,3.6,0.28,0.35,0.46,0.88,120,1.0
