dataset,seed,method,true_k,found_k,ari
three_spirals,3,MBC,3,3,0.005757941366644701
three_spirals,3,KMeans,3,3,0.003236950125557034
three_spirals,3,GMM,3,3,0.0019917220480075134
three_spirals,3,Agglomerative,3,3,0.012085678942840619
three_spirals,3,Spectral,3,3,0.12317173524738109
three_spirals,3,MeanShift,3,29,0.0786628724265738
three_spirals,3,AffinityPropagation,3,23,0.13272323384296542
three_spirals,3,HDBSCAN,3,9,0.5219909308182448
s_curve_sections,3,MBC,3,2,0.47970710885173456
s_curve_sections,3,KMeans,3,3,0.551783704584777
s_curve_sections,3,GMM,3,3,0.6382629656721965
s_curve_sections,3,Agglomerative,3,3,0.5075902614647471
s_curve_sections,3,Spectral,3,3,0.8610291782387706
s_curve_sections,3,MeanShift,3,22,0.20797258470834584
s_curve_sections,3,AffinityPropagation,3,11,0.2713375550405357
s_curve_sections,3,HDBSCAN,3,9,0.352507517824131
bridged_blobs,3,MBC,2,2,0.31311234185021963
bridged_blobs,3,KMeans,2,2,0.4369219785615953
bridged_blobs,3,GMM,2,2,0.4369219785615953
bridged_blobs,3,Agglomerative,2,2,0.1811819242247504
bridged_blobs,3,Spectral,2,2,0.31199810474548856
bridged_blobs,3,MeanShift,2,29,0.07651124586238507
bridged_blobs,3,AffinityPropagation,2,18,0.09500398866897805
bridged_blobs,3,HDBSCAN,2,3,0.22812999586026309
disconnected_manifolds,3,MBC,2,2,-0.0020920502092050207
disconnected_manifolds,3,KMeans,2,2,-0.0020920502092050207
disconnected_manifolds,3,GMM,2,2,-0.0020920502092050207
disconnected_manifolds,3,Agglomerative,2,2,-0.0020920502092050207
disconnected_manifolds,3,Spectral,2,2,-0.0020920502092050207
disconnected_manifolds,3,MeanShift,2,17,0.2173874307053968
disconnected_manifolds,3,AffinityPropagation,2,7,0.3049109767212526
disconnected_manifolds,3,HDBSCAN,2,4,0.4942626214456545
additional_moons,3,MBC,2,2,1.0
additional_moons,3,KMeans,2,2,0.4715530395908502
additional_moons,3,GMM,2,2,0.4831053842095753
additional_moons,3,Agglomerative,2,2,0.4890292622727938
additional_moons,3,Spectral,2,2,0.8399459561547513
additional_moons,3,MeanShift,2,22,0.09924511837759219
additional_moons,3,AffinityPropagation,2,15,0.13900677087064744
additional_moons,3,HDBSCAN,2,2,0.9958419777949461
additional_circles,3,MBC,2,2,1.0
additional_circles,3,KMeans,2,2,-0.0020743252168712607
additional_circles,3,GMM,2,2,-0.0012366304855637882
additional_circles,3,Agglomerative,2,2,0.002951777453297271
additional_circles,3,Spectral,2,2,1.0
additional_circles,3,MeanShift,2,29,0.0813621552586894
additional_circles,3,AffinityPropagation,2,19,0.11202737631893395
additional_circles,3,HDBSCAN,2,2,1.0
three_spirals,7,MBC,3,3,0.019029337808509968
three_spirals,7,KMeans,3,3,0.0025793686303753416
three_spirals,7,GMM,3,3,0.0020288189733201605
three_spirals,7,Agglomerative,3,3,-0.0008424318192026085
three_spirals,7,Spectral,3,3,0.18541216578785333
three_spirals,7,MeanShift,3,28,0.08035438663255094
three_spirals,7,AffinityPropagation,3,22,0.12868303579920307
three_spirals,7,HDBSCAN,3,9,0.7631520100195163
s_curve_sections,7,MBC,3,1,0.0
s_curve_sections,7,KMeans,3,3,0.5833224928588768
s_curve_sections,7,GMM,3,3,0.7166001964397792
s_curve_sections,7,Agglomerative,3,3,0.5168349767961662
s_curve_sections,7,Spectral,3,3,0.8510753400335969
s_curve_sections,7,MeanShift,3,20,0.19401759098154442
s_curve_sections,7,AffinityPropagation,3,12,0.2983355763739964
s_curve_sections,7,HDBSCAN,3,5,0.40649223075949437
bridged_blobs,7,MBC,2,2,0.25395114611379116
bridged_blobs,7,KMeans,2,2,0.44326335370714853
bridged_blobs,7,GMM,2,2,0.42436692471844867
bridged_blobs,7,Agglomerative,2,2,0.7744699522653843
bridged_blobs,7,Spectral,2,2,0.482211476712985
bridged_blobs,7,MeanShift,2,24,0.08595980228294207
bridged_blobs,7,AffinityPropagation,2,16,0.10510114812114749
bridged_blobs,7,HDBSCAN,2,4,0.062321895052043504
disconnected_manifolds,7,MBC,2,2,-0.0020920502092050207
disconnected_manifolds,7,KMeans,2,2,-0.0020920502092050207
disconnected_manifolds,7,GMM,2,2,-0.0020920502092050207
disconnected_manifolds,7,Agglomerative,2,2,-0.0020920502092050207
disconnected_manifolds,7,Spectral,2,2,0.2488238369053842
disconnected_manifolds,7,MeanShift,2,14,0.24546974266317995
disconnected_manifolds,7,AffinityPropagation,2,8,0.2623804099071871
disconnected_manifolds,7,HDBSCAN,2,4,0.49842931937172774
additional_moons,7,MBC,2,1,0.0
additional_moons,7,KMeans,2,2,0.4715530395908502
additional_moons,7,GMM,2,2,0.48893372262850077
additional_moons,7,Agglomerative,2,2,0.6594703253062258
additional_moons,7,Spectral,2,2,0.707805009930284
additional_moons,7,MeanShift,2,23,0.08730390409103046
additional_moons,7,AffinityPropagation,2,16,0.12507316885025524
additional_moons,7,HDBSCAN,2,2,0.9833677680097038
additional_circles,7,MBC,2,2,1.0
additional_circles,7,KMeans,2,2,-0.0020743252168712607
additional_circles,7,GMM,2,2,-0.0019354369357480192
additional_circles,7,Agglomerative,2,2,0.024637578385387646
additional_circles,7,Spectral,2,2,1.0
additional_circles,7,MeanShift,2,29,0.08550114108870943
additional_circles,7,AffinityPropagation,2,22,0.09571731950749829
additional_circles,7,HDBSCAN,2,2,1.0
three_spirals,11,MBC,3,3,0.00526269255923322
three_spirals,11,KMeans,3,3,0.0031154743261442093
three_spirals,11,GMM,3,3,0.003100895264083618
three_spirals,11,Agglomerative,3,3,0.011670420271383559
three_spirals,11,Spectral,3,3,0.19447948544368487
three_spirals,11,MeanShift,3,32,0.07065338519282957
three_spirals,11,AffinityPropagation,3,25,0.11595964395505767
three_spirals,11,HDBSCAN,3,8,0.6089796155899847
s_curve_sections,11,MBC,3,3,0.4991596568773507
s_curve_sections,11,KMeans,3,3,0.5827101369908506
s_curve_sections,11,GMM,3,3,0.636826470119552
s_curve_sections,11,Agglomerative,3,3,0.6490901727347187
s_curve_sections,11,Spectral,3,3,0.7036572277879862
s_curve_sections,11,MeanShift,3,20,0.19371162021227098
s_curve_sections,11,AffinityPropagation,3,12,0.29566519762998533
s_curve_sections,11,HDBSCAN,3,10,0.24743247689015746
bridged_blobs,11,MBC,2,2,-0.002378181879952776
bridged_blobs,11,KMeans,2,2,0.4369219785615953
bridged_blobs,11,GMM,2,2,0.44326335370714853
bridged_blobs,11,Agglomerative,2,2,0.7249357771505094
bridged_blobs,11,Spectral,2,2,0.3641223897868927
bridged_blobs,11,MeanShift,2,27,0.08155776226118555
bridged_blobs,11,AffinityPropagation,2,17,0.11716480751049593
bridged_blobs,11,HDBSCAN,2,4,0.03996009103503303
disconnected_manifolds,11,MBC,2,2,-0.0020920502092050207
disconnected_manifolds,11,KMeans,2,2,-0.0020920502092050207
disconnected_manifolds,11,GMM,2,2,-0.0020920502092050207
disconnected_manifolds,11,Agglomerative,2,2,-0.0020920502092050207
disconnected_manifolds,11,Spectral,2,2,0.2488238369053842
disconnected_manifolds,11,MeanShift,2,18,0.22518933121306434
disconnected_manifolds,11,AffinityPropagation,2,8,0.2548763393807
disconnected_manifolds,11,HDBSCAN,2,4,0.4963546780907029
additional_moons,11,MBC,2,2,1.0
additional_moons,11,KMeans,2,2,0.48893372262850077
additional_moons,11,GMM,2,2,0.4658330680758462
additional_moons,11,Agglomerative,2,2,0.6594703253062258
additional_moons,11,Spectral,2,2,1.0
additional_moons,11,MeanShift,2,18,0.11578167568096856
additional_moons,11,AffinityPropagation,2,14,0.1449933564359613
additional_moons,11,HDBSCAN,2,2,1.0
additional_circles,11,MBC,2,2,1.0
additional_circles,11,KMeans,2,2,-0.001655331782046965
additional_circles,11,GMM,2,2,-0.0016541676114461105
additional_circles,11,Agglomerative,2,2,0.0024256058675924557
additional_circles,11,Spectral,2,2,1.0
additional_circles,11,MeanShift,2,27,0.08199086656564339
additional_circles,11,AffinityPropagation,2,21,0.10556635151143949
additional_circles,11,HDBSCAN,2,2,1.0
