representation,iteration,buds,coverage_inertia,stage
two_moons_2d,1,9,119.74527806088395,
two_moons_2d,2,10,76.23195367025899,
two_moons_2d,3,11,62.15504743599898,
two_moons_2d,4,12,50.29450639942144,
two_moons_2d,5,13,39.684779755453135,
two_moons_2d,6,13,37.44633710736397,
two_moons_2d,7,14,33.5130389767065,
two_moons_2d,8,14,32.767720709795455,
two_moons_2d,9,14,32.2083998476391,
two_moons_2d,10,14,31.772242977959742,
two_moons_2d,11,14,31.403690367998415,
two_moons_2d,12,14,31.09757536131214,
two_moons_2d,13,14,30.857319205298694,
two_moons_2d,14,14,30.625741827031515,
two_moons_2d,15,14,30.42420522345104,
two_moons_2d,16,14,30.266281556600706,
two_moons_2d,17,14,30.129223381226147,
two_moons_2d,18,14,30.00860828065032,
two_moons_2d,19,14,29.905620919991698,
two_moons_2d,20,15,29.163445375081608,
two_moons_2d,21,14,29.70861472813118,
two_moons_2d,22,14,29.629713050477687,
two_moons_2d,23,14,29.566295649384855,
two_moons_2d,24,14,29.50394397305009,
two_moons_2d,25,14,29.439975654613406,
two_moons_2d,26,14,29.381700558472794,
two_moons_2d,27,15,28.66008165517723,
two_moons_2d,28,14,29.27401508309987,
two_moons_2d,29,14,29.229072496592238,
two_moons_2d,30,14,29.189313467935396,
two_moons_2d,31,14,29.15165262564887,
two_moons_2d,32,14,29.119188675099224,
two_moons_2d,33,14,29.087340978177366,
two_moons_2d,34,14,29.04977531040867,
two_moons_2d,35,14,29.005977597311414,
two_moons_2d,36,14,28.963616024375057,
two_moons_2d,37,14,28.924624870762607,
two_moons_2d,38,14,28.889428867623774,
two_moons_2d,39,15,28.27134193397928,
two_moons_2d,40,16,27.428943254477325,
two_moons_2d,41,15,27.904671339365642,
two_moons_2d,42,15,27.71479886783993,
two_moons_2d,43,15,28.104833734270002,
two_moons_2d,44,14,28.754766634464996,
two_moons_2d,45,14,28.724238034811684,
two_moons_2d,46,14,28.70020142005818,
two_moons_2d,47,14,28.675290858291042,
two_moons_2d,48,14,28.637351895554936,
two_moons_2d,49,14,28.598353022275184,
two_moons_2d,50,14,28.56420570567399,
two_moons_2d,51,14,28.534426051051334,
two_moons_2d,52,14,28.50905432036012,
two_moons_2d,53,14,28.48689983955679,
two_moons_2d,54,14,28.467125587819673,
two_moons_2d,55,15,27.7554304204697,
two_moons_2d,56,14,28.428057957229598,
two_moons_2d,57,14,28.413878166480306,
two_moons_2d,58,14,28.40296854729685,
two_moons_2d,59,14,28.39463965153353,
two_moons_2d,60,14,28.388666165621956,
two_moons_2d,61,14,28.38341035734097,
two_moons_2d,62,14,28.37763085293824,
two_moons_2d,63,14,28.373691290286533,
two_moons_2d,64,14,28.37136012056075,
two_moons_2d,65,14,28.370442613942323,
two_moons_2d,66,14,28.370781121308504,
two_moons_2d,67,14,28.371417491933517,
two_moons_2d,68,15,27.835675619642988,
two_moons_2d,69,15,27.724738738551032,
two_moons_2d,70,15,27.550276665688727,
two_moons_2d,71,15,27.322393464164133,
two_moons_2d,72,14,28.60620899561392,
two_moons_2d,73,14,28.500809782458667,
two_moons_2d,74,14,28.44141678779134,
two_moons_2d,75,14,28.4115808714856,
two_moons_2d,76,15,27.700432793364943,
two_moons_2d,77,14,28.387654939323802,
two_moons_2d,78,14,28.38403770251828,
two_moons_2d,79,14,28.382812312978743,
two_moons_2d,80,14,28.38297504202108,
two_moons_2d,81,14,28.38436378019985,
two_moons_2d,82,14,28.3869127017752,
two_moons_2d,83,14,28.390483194657048,
two_moons_2d,84,14,28.394895023062666,
two_moons_2d,85,14,28.39970580852001,
two_moons_2d,86,14,28.404237407969404,
two_moons_2d,87,15,27.710124785834765,
two_moons_2d,88,14,28.411344460798084,
two_moons_2d,89,14,28.41462301058706,
two_moons_2d,90,14,28.41847161839835,
two_moons_2d,91,14,28.42273220080862,
two_moons_2d,92,14,28.427540816013664,
two_moons_2d,93,15,27.726424889561955,
two_moons_2d,94,14,28.437931718652777,
two_moons_2d,95,14,28.443770804432024,
two_moons_2d,96,14,28.44970001507901,
two_moons_2d,97,14,28.455895363173838,
two_moons_2d,98,14,28.462579582405965,
two_moons_2d,99,14,28.469807491153084,
two_moons_2d,100,14,28.476051745016196,
two_moons_2d,101,14,28.481113329091094,
two_moons_2d,102,14,28.486279419633043,
two_moons_2d,103,14,28.491665371089805,
two_moons_2d,104,14,28.49624810678885,
two_moons_2d,105,14,28.500527273313473,
two_moons_2d,106,14,28.504458255875548,
two_moons_2d,107,14,28.50784493102725,
two_moons_2d,108,14,28.511287923996203,
two_moons_2d,109,14,28.514857306194067,
two_moons_2d,110,14,28.518542902116465,
two_moons_2d,111,14,28.522335780254913,
two_moons_2d,112,14,28.526227892067027,
two_moons_2d,113,14,28.53021181293626,
two_moons_2d,114,15,27.995767715939245,
two_moons_2d,115,15,27.885943826007242,
two_moons_2d,116,15,27.709874359869037,
two_moons_2d,117,15,27.48127053464683,
two_moons_2d,118,14,28.769236001542687,
two_moons_2d,119,14,28.659242165875604,
two_moons_2d,120,14,28.598322752203387,
two_moons_2d,121,14,28.56612963781417,
two_moons_2d,122,14,28.54977602023218,
two_moons_2d,123,14,28.542975346473558,
two_moons_2d,124,14,28.54088869750629,
two_moons_2d,125,14,28.53785718482041,
two_moons_2d,126,14,28.535411755734113,
two_moons_2d,127,14,28.534376217500004,
two_moons_2d,128,14,28.532583709204758,
two_moons_2d,129,14,28.531508133852938,
two_moons_2d,130,14,28.530938803148622,
two_moons_2d,131,14,28.53073721651372,
two_moons_2d,132,14,28.530825238974508,
two_moons_2d,133,14,28.53098967670701,
two_moons_2d,134,14,28.530207755334445,
two_moons_2d,135,14,28.529730102237465,
two_moons_2d,136,14,28.529553299777078,
two_moons_2d,137,14,28.529669651794055,
two_moons_2d,138,14,28.53006599028327,
two_moons_2d,139,14,28.530186367977898,
two_moons_2d,140,14,28.530267009685986,
wine_original_13d,1,12,1138.0762689124113,
wine_original_13d,2,10,1101.9584584636468,
wine_original_13d,3,8,1148.7976901302504,
wine_original_13d,4,8,1140.9977612179157,
wine_original_13d,5,9,1081.959908417351,
wine_original_13d,6,9,1096.248086235569,
wine_original_13d,7,9,1060.9575249518653,
wine_original_13d,8,6,1197.5051063963992,
wine_original_13d,9,7,1138.5546289279162,
wine_original_13d,10,8,1058.0050480053073,
wine_original_13d,11,7,1129.6274741962823,
wine_original_13d,12,8,1088.702234117844,
wine_original_13d,13,9,1046.2374316569,
wine_original_13d,14,9,1022.6702279923531,
wine_original_13d,15,7,1099.3440710085324,
wine_original_13d,16,7,1096.5328408201663,
wine_original_13d,17,7,1110.1496894386567,
wine_original_13d,18,7,1114.6716919482892,
wine_original_13d,19,7,1104.931406422381,
wine_original_13d,20,8,1073.907856180033,
wine_original_13d,21,8,1059.647173760065,
wine_original_13d,22,9,1036.797328031585,
wine_original_13d,23,10,1004.6874477894564,
wine_original_13d,24,8,1053.4290201840997,
wine_original_13d,25,8,1091.477856291936,
wine_original_13d,26,7,1118.488505737716,
wine_original_13d,27,7,1099.9253410621145,
wine_original_13d,28,8,1061.8672360386727,
wine_original_13d,29,9,1030.1401877881995,
wine_original_13d,30,8,1069.750048238669,
wine_original_13d,31,8,1097.7853313862702,
wine_original_13d,32,8,1069.8165038901602,
wine_original_13d,33,8,1105.7412149327529,
wine_original_13d,34,8,1120.1454652536795,
wine_original_13d,35,9,1061.7017511824004,
wine_original_13d,36,8,1100.1390745679373,
wine_original_13d,37,9,1036.1532659484146,
wine_original_13d,38,8,1082.9205251837234,
wine_original_13d,39,6,1192.4114622179247,
wine_original_13d,40,7,1131.0830658411883,
wine_original_13d,41,8,1082.3271202409824,
wine_original_13d,42,8,1090.4596048042326,
wine_original_13d,43,8,1078.2585888059114,
wine_original_13d,44,7,1120.9290365208863,
wine_original_13d,45,6,1212.8530861742336,
wine_original_13d,46,7,1147.174832349679,
wine_original_13d,47,7,1147.3858921945662,
wine_original_13d,48,8,1114.1223321377088,
wine_original_13d,49,9,1063.4800553079617,
wine_original_13d,50,8,1082.3787328340031,
wine_original_13d,51,8,1066.2556139789322,
wine_original_13d,52,7,1109.2497580894287,
