dataset,seed,dimension,trigger,refinement_active,ari
two_moons,3,2,2,1,0.47781769316114897
two_moons,3,2,3,0,1.0
two_moons,3,2,4,0,1.0
two_moons,7,2,2,1,0.4946037652775727
two_moons,7,2,3,0,1.0
two_moons,7,2,4,0,1.0
two_moons,11,2,2,1,0.4451124456928147
two_moons,11,2,3,0,1.0
two_moons,11,2,4,0,1.0
two_moons,19,2,2,1,0.46132048192771086
two_moons,19,2,3,0,1.0
two_moons,19,2,4,0,1.0
two_moons,23,2,2,1,0.4722864578313253
two_moons,23,2,3,0,1.0
two_moons,23,2,4,0,1.0
circles,3,2,2,1,-0.0017510031159502055
circles,3,2,3,0,1.0
circles,3,2,4,0,1.0
circles,7,2,2,1,-0.001991710267457272
circles,7,2,3,0,1.0
circles,7,2,4,0,1.0
circles,11,2,2,1,-0.0017510031159502055
circles,11,2,3,0,1.0
circles,11,2,4,0,1.0
circles,19,2,2,1,-0.001863453276431181
circles,19,2,3,0,1.0
circles,19,2,4,0,1.0
circles,23,2,2,1,-0.001943774850599216
circles,23,2,3,0,1.0
circles,23,2,4,0,1.0
iris,3,4,2,1,0.6100728505285608
iris,3,4,3,1,0.6100728505285608
iris,3,4,4,1,0.6100728505285608
iris,7,4,2,1,0.6201351808870379
iris,7,4,3,1,0.6201351808870379
iris,7,4,4,1,0.6201351808870379
iris,11,4,2,1,0.6201351808870379
iris,11,4,3,1,0.6201351808870379
iris,11,4,4,1,0.6201351808870379
iris,19,4,2,1,0.6100728505285608
iris,19,4,3,1,0.6100728505285608
iris,19,4,4,1,0.6100728505285608
iris,23,4,2,1,0.6201351808870379
iris,23,4,3,1,0.6201351808870379
iris,23,4,4,1,0.6201351808870379
wine,3,10,2,1,0.8974949815093207
wine,3,10,3,1,0.8974949815093207
wine,3,10,4,1,0.8974949815093207
wine,7,10,2,1,0.8974949815093207
wine,7,10,3,1,0.8974949815093207
wine,7,10,4,1,0.8974949815093207
wine,11,10,2,1,0.8974949815093207
wine,11,10,3,1,0.8974949815093207
wine,11,10,4,1,0.8974949815093207
wine,19,10,2,1,0.8974949815093207
wine,19,10,3,1,0.8974949815093207
wine,19,10,4,1,0.8974949815093207
wine,23,10,2,1,0.8974949815093207
wine,23,10,3,1,0.8974949815093207
wine,23,10,4,1,0.8974949815093207
digits_0_4,3,10,2,1,0.7725597798917779
digits_0_4,3,10,3,1,0.7725597798917779
digits_0_4,3,10,4,1,0.7725597798917779
digits_0_4,7,10,2,1,0.7850577933881904
digits_0_4,7,10,3,1,0.7850577933881904
digits_0_4,7,10,4,1,0.7850577933881904
digits_0_4,11,10,2,1,0.7795342806637048
digits_0_4,11,10,3,1,0.7795342806637048
digits_0_4,11,10,4,1,0.7795342806637048
digits_0_4,19,10,2,1,0.6272910135487904
digits_0_4,19,10,3,1,0.6272910135487904
digits_0_4,19,10,4,1,0.6272910135487904
digits_0_4,23,10,2,1,0.7029537824405924
digits_0_4,23,10,3,1,0.7029537824405924
digits_0_4,23,10,4,1,0.7029537824405924
