dataset,n_samples,algorithm,seed,seconds,ari
two_moons,200,MBC,3,0.3116545000812039,1.0
two_moons,200,KMeans,3,0.07591510005295277,0.45968594002840396
two_moons,200,GMM,3,0.006866400013677776,0.47345643378388685
two_moons,200,Agglomerative,3,0.0019437000155448914,0.6873744185823383
two_moons,200,Spectral,3,0.04122259991709143,0.6382548980004039
two_moons,200,DBSCAN,3,0.0034530999837443233,0.7300814735021468
two_moons,200,MBC,7,0.28743359993677586,1.0
two_moons,200,KMeans,7,0.07605410006362945,0.47345430633620894
two_moons,200,GMM,7,0.006151000037789345,0.47345430633620894
two_moons,200,Agglomerative,7,0.0015764000127092004,0.5307136917771185
two_moons,200,Spectral,7,0.04017379996366799,1.0
two_moons,200,DBSCAN,7,0.0038491999730467796,0.6226981339154379
two_moons,200,MBC,11,0.32003800000529736,0.9799995050507551
two_moons,200,KMeans,11,0.07975409994833171,0.5159676767676767
two_moons,200,GMM,11,0.005681400070898235,0.5159676767676767
two_moons,200,Agglomerative,11,0.0014145999448373914,0.5604291574629221
two_moons,200,Spectral,11,0.036921200109645724,0.9602000804038779
two_moons,200,DBSCAN,11,0.003723600064404309,0.5233727186064914
two_moons,500,MBC,3,0.4238939000060782,1.0
two_moons,500,KMeans,3,0.09791829995810986,0.47781769316114897
two_moons,500,GMM,3,0.008023300091736019,0.49460324567347846
two_moons,500,Agglomerative,3,0.0062435000436380506,0.6586841756355348
two_moons,500,Spectral,3,0.09802239993587136,1.0
two_moons,500,DBSCAN,3,0.007102100062184036,0.5131454937954654
two_moons,500,MBC,7,0.44298729998990893,1.0
two_moons,500,KMeans,7,0.09770749998278916,0.4946037652775727
two_moons,500,GMM,7,0.008122199913486838,0.4889767081169896
two_moons,500,Agglomerative,7,0.006029700045473874,0.7322104756698323
two_moons,500,Spectral,7,0.09083790006116033,0.7459963896601944
two_moons,500,DBSCAN,7,0.005736899911426008,0.6692500903158778
two_moons,500,MBC,11,0.4484629000071436,1.0
two_moons,500,KMeans,11,0.09621129999868572,0.4451124456928147
two_moons,500,GMM,11,0.008567400043830276,0.4778183642377559
two_moons,500,Agglomerative,11,0.005995100014843047,0.6717635238189322
two_moons,500,Spectral,11,0.11698160006199032,1.0
two_moons,500,DBSCAN,11,0.006826000055298209,0.36817972397816856
two_moons,1000,MBC,3,0.7770948000252247,1.0
two_moons,1000,KMeans,3,0.12279620009940118,0.47281649987314633
two_moons,1000,GMM,3,0.007942600059323013,0.49229637565670314
two_moons,1000,Agglomerative,3,0.01938670000527054,0.6017973990117307
two_moons,1000,Spectral,3,0.19042729993816465,1.0
two_moons,1000,DBSCAN,3,0.008312999969348311,0.40157818297515147
two_moons,1000,MBC,7,0.7919533998938277,1.0
two_moons,1000,KMeans,7,0.11338620004244149,0.47281636464373095
two_moons,1000,GMM,7,0.008502000011503696,0.48389958961940294
two_moons,1000,Agglomerative,7,0.019623700063675642,0.5650954352408326
two_moons,1000,Spectral,7,0.2788674000184983,1.0
two_moons,1000,DBSCAN,7,0.010493199923075736,0.5175871438046354
two_moons,1000,MBC,11,0.7388510999735445,1.0
two_moons,1000,KMeans,11,0.1263720999704674,0.5064501537273933
two_moons,1000,GMM,11,0.010820699972100556,0.5208047567892975
two_moons,1000,Agglomerative,11,0.020529600093141198,0.6080266247608833
two_moons,1000,Spectral,11,0.2552451000083238,1.0
two_moons,1000,DBSCAN,11,0.00834170007146895,0.8569293095775404
two_moons,2000,MBC,3,1.7313489000080153,1.0
two_moons,2000,KMeans,3,0.05082349991425872,0.4827662602256474
two_moons,2000,GMM,3,0.008547100005671382,0.49677330332598185
two_moons,2000,Agglomerative,3,0.11274930008221418,0.7088219744585734
two_moons,2000,Spectral,3,0.7403768999502063,1.0
two_moons,2000,DBSCAN,3,0.01775100000668317,0.8354038440721505
two_moons,2000,MBC,7,1.6956327999942005,1.0
two_moons,2000,KMeans,7,0.051289299968630075,0.4813766094345268
two_moons,2000,GMM,7,0.008504399913363159,0.49959876458701
two_moons,2000,Agglomerative,7,0.10426430008374155,0.5578019497772756
two_moons,2000,Spectral,7,0.601669600000605,0.9564622307669071
two_moons,2000,DBSCAN,7,0.017228499986231327,0.8147951955590694
two_moons,2000,MBC,11,1.7864892999641597,1.0
two_moons,2000,KMeans,11,0.05001150001771748,0.4813765595968437
two_moons,2000,GMM,11,0.008121499908156693,0.4953635595966882
two_moons,2000,Agglomerative,11,0.08594760007690638,0.6624329742086208
two_moons,2000,Spectral,11,0.7969838000135496,1.0
two_moons,2000,DBSCAN,11,0.01957060000859201,0.6791844491873192
