n_samples,algorithm,seconds,seconds,ari,ari
,,mean,std,mean,std
200,Agglomerative,0.007309900131076574,0.010712397656191551,0.5928390892741263,0.0832072628488049
200,DBSCAN,0.0025150665702919164,0.00020619307593941895,0.625384108674692,0.103380550312588
200,GMM,0.0041603998591502505,0.0005720672906155414,0.4876261389625909,0.024544491744571604
200,KMeans,0.047743200014034905,0.028641272658415817,0.4830359743774299,0.029338792484291467
200,MBC,0.20893360022455454,0.011325211321232573,0.9933331683502518,0.0115472911428723
200,Spectral,0.014902400008092323,0.0012290676366750138,0.8661516594680939,0.19836508970975805
500,Agglomerative,0.0034860665909945965,0.00035358766392701806,0.6875527250414332,0.039223760090241866
500,DBSCAN,0.004499099838236968,0.0004976157768490442,0.5168584360298373,0.1505695215729513
500,GMM,0.004561299923807383,0.0002268623203694356,0.48713277267607463,0.008543016717501658
500,KMeans,0.04045303352177143,0.002292416232912667,0.47251130137717884,0.02516875094008246
500,MBC,0.2960861666748921,0.01592178670398146,1.0,0.0
500,Spectral,0.01987216668203473,0.0003850446216778634,0.9153321298867315,0.14664905280482354
1000,Agglomerative,0.015745466730246942,0.0030613416356733225,0.5916398196711489,0.0231981480283834
1000,DBSCAN,0.006698800095667441,9.734718018125444e-05,0.5920315454524424,0.23662763749621732
1000,GMM,0.00414249999448657,0.00022384772893917204,0.4990002406884679,0.019344358240390238
1000,KMeans,0.015689266690363485,0.0002618681755503315,0.48402767274809017,0.019418438144067626
1000,MBC,0.5525057000728945,0.02446579593985454,1.0,0.0
1000,Spectral,0.017239666543900967,0.0008697697107833094,1.0,0.0
2000,Agglomerative,0.07079823330665629,0.007395900273375237,0.6430189661481566,0.07735916070779063
2000,DBSCAN,0.01357109984382987,0.0005541162489209409,0.7764611629395132,0.08487195283015242
2000,GMM,0.006057699987043937,0.0010855622324371357,0.49724520916989334,0.002156678388552665
2000,KMeans,0.01931323328365882,0.002887363139951942,0.4818398097523393,0.0008023296456198666
2000,MBC,1.2739809999863307,0.014712139161994561,1.0,0.0
2000,Spectral,0.03080063344289859,0.0008056613267492038,0.9854874102556357,0.025136542786642013
